Product ID,Ship Mode,Shipping Costs,Segment,State,Units Sold,City,Ship Date,Customer ID,Sales,Customer Name,Postal Code,Order ID,Order Date,Discount,Profit,Company
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
AAA-AA-00000000,Same Day,-99,Consumer,,0,,1/1/1970 0:00,AA-00000,0,,0,CA-0000-000000,1/1/1970 0:00,0,0,SupplyMax
